Aufbereitete Datenbasis,,,,,,,,,
,,,,,,,,,
Stand: 01.06.2026,," Ä 195,614.00 ",,,,,"56,972",,
Faktura NR.,Datum, Wert ,Kunden Nr.,Kundenname,Artikel,Artikelname,StÅck,Agent, % 
INTERCOM NTP,07.01.26, Ä 231.00 ,10343,INTERCOM NTP,35110,M-ONE Sanitar Silikon,24,Qerimi, Ä 0.17 
INTERCOM NTP,07.01.26,,10343,INTERCOM NTP,35121,M-ONE Sanitar Silikon,36,Qerimi, Ä 0.17 
ERALP,07.01.26, Ä 92.40 ,10308,ERALP,35125,M-ONE Sanitar Silikon,24,Qerimi, Ä 0.17 
TINA,07.01.26, Ä 46.20 ,10344,TINA,35108,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
IBAK,07.01.26, Ä 92.40 ,10340,IBAK,35109,M-ONE Sanitar Silikon,24,Qerimi, Ä 0.17 
PARKETI,07.01.26, Ä 138.60 ,10325,PARKETI,35110,M-ONE Sanitar Silikon,24,Qerimi, Ä 0.17 
PARKETI,07.01.26,,10325,PARKETI,35111,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
BURIMI,07.01.26, Ä 46.20 ,10330,BURIMI,35109,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
DARDANIA,07.01.26, Ä 92.40 ,10332,DARDANIA,35109,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
DARDANIA,07.01.26,,10332,DARDANIA,35110,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
FUNDAMETI,07.01.26, Ä 92.40 ,10301,FUNDAMETI,35121,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
FUNDAMETI,07.01.26,,10301,FUNDAMETI,35119,M-ONE Sanitar Silikon,12,Qerimi, Ä 0.17 
BEKA-3,07.01.26, Ä 86.40 ,10323,BEKA-3,50912,DICHTUNG,12,Qerimi, Ä 0.20 
HAZROLLI,07.01.26, Ä 46.20 ,20301,HAZROLLI,35119,M-ONE Sanitar Silikon,12,Mensuri, Ä 0.17 
BAU HOME,07.01.26, Ä 73.80 ,20324,BAU HOME,35121,M-ONE Sanitar Silikon,12,Mensuri, Ä 0.17 
BAU HOME,07.01.26,,20324,BAU HOME,51612,struktural akryl,12,Mensuri, Ä 0.06 
CONDOR,07.01.26, Ä 240.00 ,20307,CONDOR,35108,M-ONE Sanitar Silikon,12,Mensuri, Ä 0.17 
CONDOR,07.01.26,,20307,CONDOR,35110,M-ONE Sanitar Silikon,12,Mensuri, Ä 0.17 
